
--- Trial 1 | lr=0.0001 | weight_decay=1e-06 | batch_size=32 | dropout=0.3 ---
epoch,train_loss,val_loss
1,0.4526,0.2668
2,0.3968,0.2376
3,0.4121,0.2154
4,0.3858,0.2199
5,0.4165,0.2113
6,0.3748,0.2160
7,0.3744,0.1994
8,0.3726,0.2069
9,0.3705,0.2098
10,0.3830,0.2075
11,0.3801,0.2070
12,0.3744,0.2041
13,0.3741,0.2092
14,0.3683,0.2046

--- Trial 2 | lr=0.001 | weight_decay=1e-06 | batch_size=32 | dropout=0.3 ---
epoch,train_loss,val_loss
1,0.3589,0.1976
2,0.3612,0.1965
3,0.3707,0.1922
4,0.3516,0.1967
5,0.3748,0.1951
6,0.3600,0.1917
7,0.3376,0.1957
8,0.3356,0.1921
9,0.3478,0.1955
10,0.3262,0.1832
11,0.3338,0.1768
12,0.3185,0.1746
13,0.3213,0.1735
14,0.3133,0.1791
15,0.3103,0.1843
16,0.2959,0.1762
17,0.3187,0.1691
18,0.3130,0.1598
19,0.2932,0.1717
20,0.2769,0.1777

--- Trial 3 | lr=0.001 | weight_decay=0.0001 | batch_size=16 | dropout=0.3 ---
epoch,train_loss,val_loss
1,0.3969,0.2044
2,0.3751,0.1993
3,0.3676,0.1991
4,0.3783,0.1987
5,0.3692,0.1987
6,0.3652,0.1987
7,0.3692,0.1987
8,0.3792,0.1933
9,0.3674,0.2093
10,0.3543,0.1986
11,0.3322,0.1955
12,0.3430,0.2080
13,0.3422,0.1984
14,0.3242,0.2078
15,0.3433,0.1983

--- Trial 4 | lr=0.0001 | weight_decay=1e-05 | batch_size=32 | dropout=0.3 ---
epoch,train_loss,val_loss
1,0.4099,0.2420
2,0.3822,0.2117
3,0.3687,0.2088
4,0.3844,0.2172
5,0.3628,0.2073
6,0.3609,0.1985
7,0.3694,0.2048
8,0.3663,0.2045
9,0.3748,0.2021
10,0.3789,0.1988
11,0.3695,0.2021
12,0.3690,0.1994
13,0.3799,0.2040

--- Trial 5 | lr=0.001 | weight_decay=1e-06 | batch_size=32 | dropout=0.3 ---
epoch,train_loss,val_loss
1,0.3599,0.1961
2,0.3573,0.1961
3,0.3487,0.1958
4,0.3612,0.1964
5,0.3660,0.1963
6,0.3605,0.1988
7,0.3494,0.1937
8,0.3527,0.2079
9,0.3827,0.1940
10,0.3379,0.1860
11,0.3326,0.1903
12,0.3089,0.1801
13,0.3201,0.1845
14,0.3086,0.1722
15,0.2878,0.1710
16,0.2884,0.1733
17,0.2971,0.1669
18,0.2943,0.1619
19,0.2687,0.1644
20,0.2767,0.1593
